"bin","bbl","evictions"
1003772,"1002920027",4
1003774,"1002920029",1
1003775,"1002927501",1
1003782,"1002930009",2
1003785,"1002930012",3
1003788,"1002930015",3
1003799,"1002940022",1
1003811,"1002970016",5
1003815,"1002970021",3
1003844,"1002980008",1
1003852,"1002980018",1
1003853,"1002987503",1
1003861,"1002990018",3
1003867,"1002990025",3
1003868,"1002990026",2
1003872,"1002990030",1
1003876,"1003000003",1
1003882,"1003000010",6
1003886,"1003000018",2
1003889,"1003000021",2
1003891,"1003000023",1
1003931,"1003040016",1
1003940,"1003040029",1
1003945,"1003040035",6
1003946,"1003060001",11
1003950,"1003060006",4
1003951,"1003060007",12
1003952,"1003060008",1
1003960,"1003060019",3
1003961,"1003060023",2
1003965,"1003060028",2
1003971,"1003060035",2
1003975,"1003060040",1
1003992,"1003080024",6
1003993,"1003080025",4
1003995,"1003080028",1
1004003,"1003097502",5
1004016,"1003090022",3
1004017,"1003090024",2
1004024,"1003100007",2
1004035,"1003100021",1
1004036,"1003100022",2
1004039,"1003100025",3
1004040,"1003100026",1
1004043,"1003100030",1
1004045,"1003100032",1
1004047,"1003100034",1
1004064,"1003310001",3
1004065,"1003310065",5
1004075,"1003410001",93
1004081,"1003430050",10
1004082,"1003430060",8
1004083,"1003430062",1
1004084,"1003430065",3
1004094,"1003440013",16
1004095,"1003440017",12
1004099,"1003440063",1
1004100,"1003440064",2
1004101,"1003440065",2
1004103,"1003440067",3
1004104,"1003440068",3
1004105,"1003440069",9
1004106,"1003440072",2
1004107,"1003440073",1
1004108,"1003440076",3
1004109,"1003440138",1
1004114,"1003440146",1
1004119,"1003440154",2
1004121,"1003440169",3
1004123,"1003440171",2
1004125,"1003440173",6
1004133,"1003450009",2
1004135,"1003450011",2
1004136,"1003450012",1
1004137,"1003450013",3
1004138,"1003450014",1
1004141,"1003450020",28
1004142,"1003450024",7
1004143,"1003450025",7
1004146,"1003450029",2
1004151,"1003450048",36
1004154,"1003460001",2
1004156,"1003460095",1
1004160,"1003480003",2
1004161,"1003480004",1
1004162,"1003480005",1
1004166,"1003480009",1
1004167,"1003480010",1
1004171,"1003480014",1
1004173,"1003480016",3
1004176,"1003480020",1
1004177,"1003480021",3
1004178,"1003480022",2
1004179,"1003480023",2
1004180,"1003480024",2
1004181,"1003480025",1
1004182,"1003480026",6
1004183,"1003480027",2
1004184,"1003480028",2
1004195,"1003480040",1
1004197,"1003480044",7
